Texto en /entradaOCR/IMG_20230615_085201289.jpg:
level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	1	1	1	5	3772	2063	121	433	18.890953	‘SVIDVUD
4	1	1	1	2	0	3642	1112	117	1373	-1	
5	1	1	1	2	1	3642	1112	81	507	8.072998	OSaAYDONd
5	1	1	1	2	2	3657	1666	80	333	90.157661	SOWOS
5	1	1	1	2	3	3674	2042	85	443	7.157562	SOLNNAT
5	1	1	1	2	4	3638	2441	125	42	0.000000	-
4	1	1	1	3	0	3547	1326	91	856	-1	
5	1	1	1	3	1	3547	1326	70	481	48.577019	IVWNOIDYN
5	1	1	1	3	2	3556	1856	82	326	22.420319	ODNYVE
4	1	1	1	4	0	3432	1029	104	1465	-1	
5	1	1	1	4	1	3432	1029	82	26	66.669312	(
5	1	1	1	4	2	3432	1091	92	950	27.498833	OCTIYNYV/OUUVAYN
5	1	1	1	4	3	3461	2085	75	409	0.000000	VusadOW
2	1	2	0	0	0	3246	2150	73	419	-1	
3	1	2	1	0	0	3246	2150	73	419	-1	
4	1	2	1	1	0	3246	2150	73	419	-1	
5	1	2	1	1	1	3254	2150	54	51	43.373001	Xx
5	1	2	1	1	2	3246	2253	73	316	16.813950	VYWala
2	1	3	0	0	0	2840	790	131	1981	-1	
3	1	3	1	0	0	2840	790	131	1981	-1	
4	1	3	1	1	0	2840	790	131	1981	-1	
5	1	3	1	1	1	2840	790	99	536	28.040154	00‘000'E
5	1	3	1	1	2	2846	1380	84	242	0.000000	DUD
5	1	3	1	1	3	2896	2266	63	21	57.469879	>
5	1	3	1	1	4	2880	2348	91	423	29.240837	WILOL
2	1	4	0	0	0	2392	798	254	1973	-1	
3	1	4	1	0	0	2415	798	231	1973	-1	
4	1	4	1	1	0	2541	798	105	1973	-1	
5	1	4	1	1	1	2541	798	69	340	0.000000	O1L!18a0
5	1	4	1	1	2	2544	1181	67	206	96.012749	VSIA
5	1	4	1	1	3	2567	2240	74	305	58.295826	gv
5	1	4	1	1	4	2576	2595	70	176	67.333168	dd¥
4	1	4	1	2	0	2392	801	123	1966	-1	
5	1	4	1	2	1	2392	801	100	787	0.000000	OTOTEQODOQO000V
5	1	4	1	2	2	2446	2578	69	189	57.046967	‘IY
2	1	5	0	0	0	897	784	1363	1987	-1	
3	1	5	1	0	0	899	761	1361	2010	-1	
4	1	5	1	1	0	2167	806	93	1956	-1	
5	1	5	1	1	1	2167	806	70	329	15.031845	GESOOO
5	1	5	1	1	2	2171	1182	69	212	0.000000	‘LNY
5	1	5	1	1	3	2174	1437	69	217	70.812859	OUN
5	1	5	1	1	4	2179	1798	77	684	0.000000	YQT6ETELOSOTE
5	1	5	1	1	5	2191	2533	69	229	65.122162	-Nud
4	1	5	1	2	0	2044	784	104	1979	-1	
5	1	5	1	2	1	2027	784	109	152	49.061893	TEE:
5	1	5	1	2	2	2046	970	65	85	49.061893	LO
5	1	5	1	2	3	2048	1102	68	280	0.000000	“WYAOH
5	1	5	1	2	4	2058	1799	74	357	38.713890	EZOZ
5	1	5	1	2	5	2042	2070	110	101	91.338562	tT
5	1	5	1	2	6	2062	2210	86	169	59.560226	NAL
5	1	5	1	2	7	2063	2426	70	337	0.000000	‘WH2S4
4	1	5	1	3	0	1921	810	87	1953	-1	
5	1	5	1	3	1	1921	810	83	329	72.859146	060000
5	1	5	1	3	2	1929	1186	67	349	36.983757	‘OOYVD
5	1	5	1	3	3	1938	2105	67	341	49.359940	6TZ000
5	1	5	1	3	4	1940	2497	68	266	17.880997	‘3LOT
4	1	5	1	4	0	1767	2187	105	584	-1	
5	1	5	1	4	1	1771	2187	101	62	75.059235	4
5	1	5	1	4	2	1767	2314	104	457	46.823429	V.LNAA
4	1	5	1	5	0	1628	804	86	1959	-1	
5	1	5	1	5	1	1628	804	84	79	28.725067	pe
5	1	5	1	5	2	1630	966	84	141	15.402100	(WD
5	1	5	1	5	3	1640	2272	74	196	0.000000	satca
5	1	5	1	5	4	1660	2532	41	6	56.133766	>
5	1	5	1	5	5	1635	2592	67	171	54.613842	AMS
4	1	5	1	6	0	1505	818	70	1949	-1	
5	1	5	1	6	1	1505	818	67	214	42.449093	EOSS
5	1	5	1	6	2	1511	1055	38	151	4.471710	++
5	1	5	1	6	3	1518	1371	39	204	33.843506	te
5	1	5	1	6	4	1507	2556	68	211	88.572411	WSIA
4	1	5	1	7	0	1381	819	85	1949	-1	
5	1	5	1	7	1	1382	819	84	829	36.991257	QOOOOOTLTZTrOCO
5	1	5	1	7	2	1381	2136	77	632	25.751259	-#OIDYAWOD
4	1	5	1	8	0	1255	821	80	1937	-1	
5	1	5	1	8	1	1256	821	79	440	14.489578	SES0TZO0
5	1	5	1	8	2	1255	2442	69	316	0.000000	“WHI
5	1	5	1	8	3	1251	2710	102	51	0.000000	I
4	1	5	1	9	0	1138	1178	87	1221	-1	
5	1	5	1	9	1	1147	1178	70	247	63.683056	YONA
5	1	5	1	9	2	1155	1476	67	105	46.918839	NJ
5	1	5	1	9	3	1159	1628	66	234	62.692215	O1OS
5	1	5	1	9	4	1138	1906	80	493	38.741970	YVLIWVHL
4	1	5	1	10	0	1022	1303	98	965	-1	
5	1	5	1	10	1	1033	1303	87	433	7.949890	WISNV1Y
5	1	5	1	10	2	1022	1780	86	488	0.000000	WZ
4	1	5	1	11	0	897	1163	89	1252	-1	
5	1	5	1	11	1	908	1163	76	496	4.613800	IWZIMYVD
5	1	5	1	11	2	897	1700	89	715	20.927803	OULNIDIANAS
2	1	6	0	0	0	811	2183	17	16	-1	
3	1	6	1	0	0	811	2183	17	16	-1	
4	1	6	1	1	0	811	2183	17	16	-1	
5	1	6	1	1	1	811	2183	19	16	79.146133	a
2	1	7	0	0	0	659	1401	190	586	-1	
3	1	7	1	0	0	659	1401	190	586	-1	
4	1	7	1	1	0	659	1401	190	586	-1	
5	1	7	1	1	1	671	1401	129	260	25.982208	TAM
5	1	7	1	1	2	672	1676	177	88	47.651566	Hi
5	1	7	1	1	3	659	1727	155	260	7.644531	tN
2	1	8	0	0	0	667	1592	52	68	-1	
3	1	8	1	0	0	667	1592	52	68	-1	
4	1	8	1	1	0	667	1592	52	68	-1	
5	1	8	1	1	1	667	1592	52	68	19.706787	7%.
2	1	9	0	0	0	0	0	4000	3000	-1	
3	1	9	1	0	0	0	0	4000	3000	-1	
4	1	9	1	1	0	0	0	4000	3000	-1	
5	1	9	1	1	1	0	0	4000	3000	95.000000	 

Texto en /entradaOCR/IMG_20230615_081134709.jpg:
level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	4000	3000	-1	
2	1	1	0	0	0	3488	856	502	1462	-1	
3	1	1	1	0	0	3488	856	502	1387	-1	
4	1	1	1	1	0	3833	1142	157	889	-1	
5	1	1	1	1	1	3833	1142	134	542	0.000000	O1suaWiOD
5	1	1	1	1	2	3904	1630	59	54	72.626022	9
5	1	1	1	1	3	3906	1738	84	293	10.342712	WidoaD
4	1	1	1	2	0	3798	856	72	1462	-1	
5	1	1	1	2	1	3798	856	78	709	0.000000	VWIDNQH4d49dd
5	1	1	1	2	2	3817	1574	16	18	92.919006	NS
5	1	1	1	2	3	3806	1602	74	269	66.877747	YOd
5	1	1	1	2	4	3802	1914	68	404	13.273659	SVIDVHUO
4	1	1	1	3	0	3701	926	127	1303	-1	
5	1	1	1	3	1	3701	926	65	557	31.737778	OSIHOCdd
5	1	1	1	3	2	3706	1498	122	333	76.268616	SOWOS
5	1	1	1	3	3	3704	1868	81	361	43.681561	SOLNN
4	1	1	1	4	0	3599	1161	68	849	-1	
5	1	1	1	4	1	3599	1161	65	482	0.000000	IWNOIDYN
5	1	1	1	4	2	3600	1698	66	312	76.317146	ODNVS
4	1	1	1	5	0	3488	1240	79	695	-1	
5	1	1	1	5	1	3488	1240	79	695	0.000000	WSIAISAFMA¥d
2	1	2	0	0	0	0	0	0	0	-1	
3	1	2	1	0	0	0	0	0	0	-1	
4	1	2	1	1	0	0	0	0	0	-1	
5	1	2	1	1	1	0	0	0	0	95.000000	 
4	1	2	1	2	0	0	0	0	0	-1	
5	1	2	1	2	1	0	0	0	0	95.000000	 
2	1	3	0	0	0	3222	640	103	1923	-1	
3	1	3	1	0	0	3222	640	103	1923	-1	
4	1	3	1	1	0	3222	640	103	1923	-1	
5	1	3	1	1	1	3222	640	103	606	32.347366	00°000°S
5	1	3	1	1	2	3222	1312	92	265	43.889675	DHD
5	1	3	1	1	3	3253	2049	64	20	31.458405	*
5	1	3	1	1	4	3224	2133	94	430	42.431389	WLOL
2	1	4	0	0	0	2640	1114	338	1464	-1	
3	1	4	1	0	0	2640	1114	338	1464	-1	
4	1	4	1	1	0	2640	1114	338	1464	-1	
5	1	4	1	1	1	2640	1114	338	1464	95.000000	 
2	1	5	0	0	0	0	432	0	61	-1	
